事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
中共十一届三中全会召开,,全会批判了“两个凡是”的错误方针，充分肯定必须完整地、准确地掌握毛泽东思想的科学体系，高度评价关于实践是检验真理的唯一标准问题的讨论；果断地停止使用“以阶级斗争为纲”的口号，作出把党和国家工作中心转移到经济建设上来、实行改革开放的历史性决策；决定健全党的民主集中制，加强党的领导机构，成立中央纪律检查委员会，选举陈云为中央纪委第一书记。全会标志着中国共产党重新确立了马克思主义的思想路线、政治路线和组织路线，实现新中国成立以来党的历史上具有深远意义的伟大转折，开启了改革开放和社会主义现代化的伟大征程。,1978年12月18日－1978年12月22日,,会议事件,,,,,,,,,,,
上海宝山钢铁总厂举行动工,,90566,1978年12月23日,,重大项目及重要成就事件,,,,,,,,,,,
《告台湾同胞书》,,全国人大常委会发表《告台湾同胞书》，郑重宣示争取祖国和平统一的大政方针。同日，国防部长徐向前发表声明，即日起停止自1958年8月23日开始的对金门等岛屿的炮击。两岸关系由此揭开新篇章。,1979年1月1日,,文献事件,,,,,,,,,,,
中央纪律检查委员会召开第一次全体会议,,中央纪律检查委员会召开第一次全体会议。此后，全国地方各级纪律检查机构陆续恢复重建。,1979年1月4日－1979年1月22日,,会议事件,,,,,,,,,,,
党的理论工作务虚会召开,,,1979年1月18日－1979年4月3日,,会议事件,,,,,,,,,,,
《坚持四项基本原则》讲话,,邓小平在会上发表《坚持四项基本原则》讲话。强调，必须在思想政治上坚持社会主义道路，坚持无产阶级专政（后表述为人民民主专政），坚持共产党的领导，坚持马列主义、毛泽东思想。这四项基本原则是实现四个现代化的根本前提。,1979年3月30日,,文献事件,,,,,,,,,,,
邓小平对美国进行国事访问,,邓小平对美国进行国事访问。这是新中国成立后中国国家领导人第一次访问美国。,1979年1月29日－1979年2月5日,,访问事件,,,,,,,,,,,
全国第一个对外开放工业区——蛇口工业区建立,,中共中央、国务院决定在广东蛇口建立全国第一个对外开放工业区——蛇口工业区。,1979年1月31日,广东,重大项目及重要成就事件,,,,,,,,,,,
“中国式的四个现代化”概念,,邓小平在会见外宾时提出“中国式的四个现代化”概念。,1979年3月21日,,决策事件,邓小平,,,,,,,,,,
“小康”概念,,邓小平在会见日本首相大平正芳时提出“小康”的概念。,1979年12月6日,,决策事件,邓小平,,,,,,,,,,
1979年中央工作会议召开,,中共中央召开工作会议，决定对国民经济实行“调整、改革、整顿、提高”的方针。,1979年4月5日－1979年4月28日,,会议事件,,,决定对国民经济实行“调整、改革、整顿、提高”的方针,,,,,,,,
全国政协五届二次会议,,邓小平在全国政协五届二次会议上讲话，明确指出，新时期统一战线和人民政协的任务，就是要调动一切积极因素，努力化消极因素为积极因素，团结一切可以团结的力量，同心同德，群策群力，维护和发展安定团结的政治局面，为把我国建设成为现代化的社会主义强国而奋斗。10月19日，在对各民主党派和全国工商联代表讲话时指出，统一战线已经发展成为全体社会主义劳动者、拥护社会主义的爱国者和拥护祖国统一的爱国者的最广泛的联盟。,1979年6月15日,,会议事件,,,,,,,,,,,
五届全国人大二次会议,,五届全国人大二次会议通过《关于修正〈中华人民共和国宪法〉若干规定的决议》和《中华人民共和国刑法》、《中华人民共和国刑事诉讼法》、《中华人民共和国中外合资经营企业法》等七部法律。,1979年7月1日,,会议事件,,,,,,,,,,,
中共中央、国务院批转《广东、福建两省会议纪要》,,,1980年5月16日,,文献事件,,,,,,,,,,,
五届全国人大常委会第十一次会议,,五届全国人大常委会第十一次会议原则通过《中华人民共和国环境保护法（试行）》。,1979年9月13日,,会议事件,,,,,,,,,,,
第二次全国环境保护会议,,第二次全国环境保护会议明确提出环境保护是我国的一项基本国策。,1983年12月31日,,会议事件,,,,,,,,,,,
《目前的形势和任务》讲话,,邓小平在中共中央召集的干部会议上发表《目前的形势和任务》讲话，提出反对霸权主义、维护世界和平，台湾归回祖国、实现祖国统一，加紧四个现代化建设三大任务。,1980年1月16日,,文献事件,邓小平,,,,,,,,,,
中共十一届五中全会,,中共十一届五中全会召开。全会通过《关于党内政治生活的若干准则》。,1980年2月23日－1980年2月29日,,会议事件,,,,,,,,,,,
西藏工作座谈会,,中共中央召开西藏工作座谈会，提出有计划有步骤地使西藏兴旺发达、繁荣富裕起来。,1980年3月14日－1980年3月15日,,会议事件,,,,,,,,,,,
邓小平、胡耀邦会见意大利共产党主席贝林格,,,1980年4月15日－1980年4月18日,,访问事件,"邓小平,胡耀邦",,党际交往的基本原则,,,,,,,,
中国向太平洋预定海域发射第一枚运载火箭获得圆满成功,,,1980年5月18日,,重大项目及重要成就事件,,,,,,,,,,,
《党和国家领导制度的改革》讲话,,邓小平在中央政治局扩大会议上发表《党和国家领导制度的改革》讲话。指出，领导制度、组织制度问题更带有根本性、全局性、稳定性和长期性，对现行制度存在的各种弊端必须进行改革。改革党和国家的领导制度，不是要削弱党的领导，涣散党的纪律，而正是为了坚持和加强党的领导，坚持和加强党的纪律。,1980年8月18日,,文献事件,邓小平,,,,,,,,,,
国务院批转国家经委《关于扩大企业自主权试点工作情况和今后意见的报告》,,国务院批转国家经委《关于扩大企业自主权试点工作情况和今后意见的报告》，要求从1981年起把扩大企业自主权的工作在国营工业企业中全面推开。,1980年9月2日,,文献事件,,,,,,,,,,,
《关于控制我国人口增长问题致全体共产党员、共青团员的公开信》,,中共中央发出《关于控制我国人口增长问题致全体共产党员、共青团员的公开信》，提倡一对夫妇只生育一个孩子。1982年中共十二大把实行计划生育确立为中国的一项基本国策。,1980年9月25日,,文献事件,,,,,,,,,,,
第三次贯彻《关于党内政治生活的若干准则》座谈会,,陈云在中央纪律检查委员会召开的第三次贯彻《关于党内政治生活的若干准则》座谈会期间指出，执政党的党风问题是有关党的生死存亡的问题，党风问题必须抓紧搞，永远搞。,1980年11月,,会议事件,,中央纪律检查委员会,,,,,,,,,
中共十一届六中全会,,中共十一届六中全会召开。全会通过《关于建国以来党的若干历史问题的决议》，对新中国成立32年来党的重大历史事件特别是“文化大革命”作出正确总结，实事求是地评价毛泽东的历史地位，科学论述毛泽东思想作为党的指导思想的伟大意义。《决议》的通过，标志着党在指导思想上拨乱反正任务的完成。29日，全会选举胡耀邦为中央委员会主席，邓小平为中央军委主席。,1981年6月27日－1981年6月29日,,会议事件,,,,,,,,,,,
《关于广开门路，搞活经济，解决城镇就业问题的若干决定》,,,1981年10月17日,,文献事件,,,,,,,,,,,
中共中央批转《全国农村工作会议纪要》,,中共中央批转《全国农村工作会议纪要》，肯定包产到户等各种生产责任制都是社会主义集体经济的生产责任制。1982年至1986年，中共中央就农业和农村问题连续发出五个一号文件。,1982年1月1日,,文献事件,,,,,,,,,,,
邓小平会见美国华人协会主席李耀滋,,邓小平会见美国华人协会主席李耀滋，首次提出“一个国家，两种制度”概念。1983年6月26日，他会见美国新泽西州西东大学教授杨力宇，进一步阐述了有关大陆和台湾和平统一的六条方针。,1982年1月11日,,访问事件,,,“一个国家，两种制度”概念,,,,,,,,
邓小平会见美国新泽西州西东大学教授杨力宇,,邓小平会见美国华人协会主席李耀滋，首次提出“一个国家，两种制度”概念。1983年6月27日，他会见美国新泽西州西东大学教授杨力宇，进一步阐述了有关大陆和台湾和平统一的六条方针。,1983年6月26日,,访问事件,,,有关大陆和台湾和平统一的六条方针,,,,,,,,
干部队伍革命化、年轻化、知识化、专业化的“四化”方针,,,1982年1月13日,,决策事件,邓小平,,,,,,,,,,
《关于建立老干部退休制度的决定》,,,1982年2月20日,,文献事件,,,,,,,,,,,
《关于我国社会主义时期宗教问题的基本观点和基本政策》,,中共中央印发《关于我国社会主义时期宗教问题的基本观点和基本政策》，明确阐述了尊重和保护宗教信仰自由，争取、团结和教育宗教界人士，落实党的各项宗教政策等问题。,1982年3月31日,,文献事件,,,,,,,,,,,
《关于打击经济领域中严重犯罪活动的决定》,,,1982年4月13日,,文献事件,,,,,,,,,,,
《中华人民共和国和美利坚合众国联合公报》,八一七公报,中美两国政府就分步骤直到最后彻底解决美国向台湾出售武器问题发表《中华人民共和国和美利坚合众国联合公报》（八一七公报）。,1982年8月17日,,文献事件,,,,,,,,,,,
中国共产党第十二次全国代表大会,,中国共产党第十二次全国代表大会举行。大会正式代表1600人，候补代表149人，代表全国3900多万党员。邓小平在致开幕词时提出，把马克思主义的普遍真理同我国的具体实际结合起来，走自己的道路，建设有中国特色的社会主义。大会通过的报告《全面开创社会主义现代化建设的新局面》，提出分两步走，在20世纪末实现工农业年总产值翻两番的目标。大会通过新的《中国共产党章程》。大会决定设立中央顾问委员会。,1982年9月1日－1982年9月11日,,会议事件,,,,,,,,,,,
中央顾问委员会成立,,,1982年,,成立事件,,中央顾问委员会,,,,,,,,,
中共十二届一中全会,,中共十二届一中全会选举胡耀邦为中央委员会总书记，决定邓小平为中央军委主席，批准邓小平为中央顾问委员会主任，批准陈云为中央纪委第一书记。,1982年9月12日－1982年9月13日,,会议事件,"胡耀邦,邓小平,陈云",,,,,,,,,,
邓小平会见英国首相撒切尔夫人,,邓小平会见英国首相撒切尔夫人，阐述中国政府对香港问题的基本立场。指出，主权问题不是一个可以讨论的问题。1997年中国将收回香港，不仅是新界，而且包括香港岛、九龙。,1982年9月24日,,访问事件,,,,,,,,,,,
《关于中央党政机关干部教育工作的决定》,,中共中央、国务院作出《关于中央党政机关干部教育工作的决定》，要求中央党政机关的干部教育经常化、正规化、制度化。1,1982年10月3日,,文献事件,,,,,,,,,,,
《关于实现党校教育正规化的决定》,,1983年4月18日，中共中央作出《关于实现党校教育正规化的决定》。,1983年4月18日,,文献事件,,,,,,,,,,,
中国首次以潜艇从水下向预定海上目标区发射运载火箭获得成功,,,1982年10月12日,,重大项目及重要成就事件,,,,,,,,,,,
五届全国人大五次会议,,五届全国人大五次会议通过并公布施行经全面修改后的《中华人民共和国宪法》（即现行宪法）。规定：加强人民代表大会制度，扩大全国人大常委会的职权；恢复设立国家主席；国家设立中央军事委员会，中央军事委员会实行主席负责制；国务院实行总理负责制；国家在必要时得设立特别行政区；改变农村人民公社“政社合一”的体制，设立乡政权；在宪法序言中明确人民政协的性质、作用。此后，为适应改革开放和社会主义现代化建设的需要，我国分别于1988年、1993年、1999年、2004年、2018年先后五次对宪法进行修改。,1982年12月4日,,会议事件,,,,,,,,,,,
中国人民武装警察部队总部成立,,,1983年4月5日,北京,成立事件,,,,,,,,,,,
国务院批转财政部《关于国营企业利改税试行办法》,,,1983年4月24日,,文献事件,,,,,,,,,,,
全国政协六届一次会议,,全国政协六届一次会议举行。会议选举邓颖超为全国政协主席。,1983年6月4日－1983年6月22日,,会议事件,邓颖超,,,,,,,,,,
六届全国人大一次会议,,会议选举李先念为国家主席，彭真为全国人大常委会委员长，邓小平为国家中央军委主席，决定赵紫阳为国务院总理。,1983年6月6日－1983年6月21日,,文献事件,"李先念,彭真,邓小平,赵紫阳",,,,,,,,,,
《关于严厉打击刑事犯罪活动的决定》,,,1983年8月25日,,文献事件,,,,,,,,,,,
中共十二届二中全会,,中共十二届二中全会召开。全会通过《关于整党的决定》，决定用三年时间分期分批对党的作风和党的组织进行一次全面整顿。这次整党到1987年5月基本结束。,1983年10月11日－1983年10月12日,,会议事件,,,,,,,,,,,
《关于实行政社分开建立乡政府的通知》,,中共中央、国务院发出《关于实行政社分开建立乡政府的通知》。到1984年底，全国基本完成了政社分设。,1983年10月12日,,文献事件,,,,,,,,,,,
中国第一台亿次巨型计算机——“银河－Ⅰ”计算机在长沙通过国家鉴定,,由中国人民解放军国防科技大学研制成功的中国第一台亿次巨型计算机——“银河－Ⅰ”计算机在长沙通过国家鉴定，填补了国内巨型计算机研制的空白。,1983年12月6日,,重大项目及重要成就事件,,,,,,,,,,,
《关于开创社队企业新局面的报告》,,中共中央、国务院转发农牧渔业部《关于开创社队企业新局面的报告》，同意将社队企业改称乡镇企业，提出发展乡镇企业的若干政策。,1984年3月1日,,文献事件,,农牧渔业部,,,,,,,,,
中国首次成功发射试验通信卫星东方红二号,,中国首次成功发射试验通信卫星东方红二号，成为世界上第五个掌握卫星通信能力的国家。,1984年4月8日,,,,,,,,,,,,,
中共中央、国务院批转《沿海部分城市座谈会纪要》,,中共中央、国务院批转《沿海部分城市座谈会纪要》，决定进一步开放天津、上海、大连、秦皇岛、烟台、青岛、连云港、南通、宁波、温州、福州、广州、湛江和北海14个沿海港口城市，并提出逐步兴办经济技术开发区。,1984年5月4日,,文献事件,,,,,,,,,,,
六届全国人大二次会议,,六届全国人大二次会议通过《中华人民共和国民族区域自治法》。,1984年5月31日,,会议事件,,,,,,,,,,,
九届全国人大常委会第二十次会议,,九届全国人大常委会第二十次会议通过《关于修改〈中华人民共和国民族区域自治法〉的决定》，明确规定民族区域自治是国家的一项基本政治制度。,2001年2月28日,,会议事件,,,,,,,,,,,
中共十二届三中全会,,全会通过《关于经济体制改革的决定》，规定以城市为重点的经济体制改革的任务、性质和各项方针政策；提出社会主义经济是公有制基础上的有计划的商品经济。,1984年10月20日,,会议事件,,,,,,,,,,,
《列宁全集》中文第二版分卷出版,,《列宁全集》中文第二版开始分卷出版。全集共60卷，到1990年出齐。,1984年10月,,文献事件,,,,,,,,,,,
《关于严禁党政机关和党政干部经商、办企业的决定》,,,1984年12月3日,,文献事件,,,,,,,,,,,
中英两国政府签署《中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明》,,中英两国政府在北京正式签署《中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明》，中国政府声明决定于1997年7月1日对香港恢复行使主权。,1984年12月19日,北京,文献事件,,,,,,,,,,,
《关于进一步活跃农村经济的十项政策》,,中共中央、国务院印发《关于进一步活跃农村经济的十项政策》，决定改革农产品统购派购制度，从1985年起实行合同定购和市场收购。,1985年1月1日,,文献事件,,,,,,,,,,,
六届全国人大常委会第九次会议,,六届全国人大常委会第九次会议通过《关于教师节的决定》，决定9月10日为教师节。,1985年1月21日,,会议事件,,,,,,,,,,,
中共中央、国务院批转《长江、珠江三角洲和闽南厦漳泉三角地区座谈会纪要》,,中共中央、国务院批转《长江、珠江三角洲和闽南厦漳泉三角地区座谈会纪要》，决定在长江三角洲、珠江三角洲和闽南厦漳泉三角地区开辟沿海经济开放区。,1985年2月18日,,文献事件,,,,,,,,,,,
《关于扩大沿海经济开放区范围的通知》,,国务院发出《关于扩大沿海经济开放区范围的通知》，决定新划入沿海经济开放区140个市、县，包括杭州、南京、沈阳3个省会城市。此后，国务院又相继决定开放了一批沿江、沿边、内陆和省会城市，形成了多层次、多渠道、全方位开放格局。,1988年3月18日,,文献事件,,,,,,,,,,,
中国第一个南极考察站——长城站在南极乔治王岛建成,,中国第一个南极考察站——长城站在南极乔治王岛建成。此后，我国又陆续建成南极中山站、昆仑站、泰山站。,1985年2月20日,,重大项目及重要成就事件,,,,,,,,,,,
《关于科学技术体制改革的决定》,,中共中央作出《关于科学技术体制改革的决定》，提出经济建设必须依靠科学技术、科学技术工作必须面向经济建设的战略方针。,1985年3月13日,,文献事件,,,,,,,,,,,
1985年中央军委召开扩大会议,,邓小平在会上提出对国际形势的新判断和中国对外政策的两个重要转变，宣布中国人民解放军减少员额100万。会议作出军队建设指导思想实行战略性转变的重大决策。,1985年5月23日－1985年6月6日,,会议事件,邓小平,,,,,,,,,,
《关于教育体制改革的决定》,,明确教育体制改革的根本目的和主要措施，提出有步骤地实行九年制义务教育，大力发展职业技术教育，改革高等学校招生计划和毕业生分配制度，扩大高等学校办学自主权。,1985年5月27日,,文献事件,,,,,,,,,,,
全国法制宣传教育工作会议,,全国法制宣传教育工作会议召开。会议通过《关于向全体公民基本普及法律常识的五年规划》。到2021年，共实施八个五年普法规划。,1985年6月9日－1985年6月15日,,会议事件,,,,,,,,,,,
中国共产党全国代表会议,,中国共产党全国代表会议举行。会议对中央委员会、中央顾问委员会和中央纪律检查委员会的成员进行了调整。,1985年9月18日－1985年9月23日,,会议事件,,,,,,,,,,,
中共十二届五中全会,,全会对中央政治局和中央书记处成员进行了调整，进一步实现了中央领导机构成员的新老交替。,1985年9月24日,,会议事件,,,,,,,,,,,
《高技术研究发展计划纲要》,八六三计划,,1986年11月18日,,文献事件,,,,,,,,,,,
六届全国人大四次会议,,,1986年3月25日-1986年4月12日,北京,会议事件,,,,,,,,,,,
中国国内卫星通信网正式建成,,,1986年7月8日,,重大项目及重要成就事件,,,,,,,,,,,
《中国共产党全民所有制工业企业基层组织工作条例》,,,1986年9月15日,,文献事件,,,,,,,,,,,
中共十二届六中全会,,全会通过《关于社会主义精神文明建设指导方针的决议》，阐明社会主义精神文明建设的战略地位、根本任务和基本指导方针。社会主义精神文明建设对促进党风和社会风气好转起了积极作用，涌现出蒋筑英、罗健夫、朱伯儒、谷文昌等一批时代楷模。,1986年9月28日,,会议事件,,,,,,,,,,,
《关于深化企业改革增强企业活力的若干规定》,,,1986年12月5日,,文献事件,,,,,,,,,,,
《关于当前反对资产阶级自由化若干问题的通知》,,,1987年1月28日,,文献事件,,,,,,,,,,,
中葡两国政府签署《中华人民共和国政府和葡萄牙共和国政府关于澳门问题的联合声明》,,中葡两国政府在北京正式签署《中华人民共和国政府和葡萄牙共和国政府关于澳门问题的联合声明》，确认中国政府于1999年12月20日对澳门恢复行使主权。,1987年4月13日,北京,文献事件,,,,,,,,,,,
中共中央、国务院批转中央统战部、国家民委《关于民族工作几个重要问题的报告》,,中共中央、国务院批转中央统战部、国家民委《关于民族工作几个重要问题的报告》，阐述新时期民族工作总的指导思想和根本任务。,1987年4月17日,,文献事件,,"中央统战部,国家民委",,,,,,,,,
中国共产党第十三次全国代表大会,,大会正式代表1936人，特邀代表61人，代表全国4600多万党员。大会通过的报告《沿着有中国特色的社会主义道路前进》，阐述社会主义初级阶段理论，提出党在社会主义初级阶段的基本路线，制定到21世纪中叶分三步走、实现现代化的发展战略。大会通过《中国共产党章程部分条文修正案》。,1987年10月25日－1987年11月1日,,会议事件,,,,,,,,,,,
坚持“一个中心、两个基本点”,,,1987年11月1日,,决策事件,赵紫阳,,,,,,,,,,
中共十三届一中全会,,中共十三届一中全会选举赵紫阳为中央委员会总书记，决定邓小平为中央军委主席，批准陈云为中央顾问委员会主任，批准乔石为中央纪委书记。,1987年11月2日,,会议事件,"邓小平,陈云,乔石",,,,,,,,,,
六届全国人大常委会第二十三次会议,,,1987年11月24日,,会议事件,,,,,,,,,,,
九届全国人大常委会第五次会议,,,1998年10月27日-1998年11月4日,,会议事件,,,,,,,,,,,
《关于在全国城镇分期分批推行住房制度改革的实施方案》,,,1988年2月25日,,文献事件,,,,,,,,,,,
《关于深化城镇住房制度改革的决定》,,国务院作出《关于深化城镇住房制度改革的决定》，住房供应管理逐步由单位化向社会化、专业化改变。,1994年7月18日,,文献事件,,,,,,,,,,,
《关于进一步深化城镇住房制度改革加快住房建设的通知》,,国务院发出《关于进一步深化城镇住房制度改革加快住房建设的通知》，提出停止住房实物分配，逐步实行住房分配货币化。,1998年7月3日,,文献事件,,,,,,,,,,,
全国政协七届一次会议,,全国政协七届一次会议举行。会议选举李先念为全国政协主席。,1988年3月24日－1988年4月10日,,会议事件,李先念,,,,,,,,,,
七届全国人大一次会议,,会议决定设立海南省、建立海南经济特区；批准国务院机构改革方案，此后第一次对各部门进行“定职能、定机构、定编制”的“三定”工作；通过《中华人民共和国中外合作经营企业法》等。会议选举杨尚昆为国家主席，万里为全国人大常委会委员长，邓小平为国家中央军委主席，决定李鹏为国务院总理。,1988年3月25日－1988年4月13日,,会议事件,"杨尚昆,邓小平,李鹏",,,,,,,,,,
《关于党和国家机关必须保持廉洁的通知》,,,1988年6月1日,,文献事件,,,,,,,,,,,
七届全国人大常委会第二次会议,,七届全国人大常委会第二次会议通过《中国人民解放军军官军衔条例》，人民解放军实行新的军衔制。,1988年7月1日,,会议事件,,,,,,,,,,,
科学技术是第一生产力,,邓小平在会见外宾时指出，马克思说过，科学技术是生产力，事实证明这话讲得很对。依我看，科学技术是第一生产力。,1988年9月5日,,决策事件,邓小平,,,,,,,,,,
七届全国人大常委会第三次会议,,,1988年9月5日,,会议事件,,,,,,,,,,,
九届全国人大常委会第十九次会议,,,2000年12月28日,,会议事件,,,,,,,,,,,
“两个大局”思想,,邓小平在听取工作汇报时，提出“两个大局”思想。指出，沿海地区要加快对外开放，使这个拥有两亿人口的广大地带较快地先发展起来，从而带动内地更好地发展，这是一个事关大局的问题。内地要顾全这个大局。反过来，发展到一定的时候，又要求沿海拿出更多力量来帮助内地发展，这也是个大局。那时沿海也要服从这个大局。,1988年9月12日,,决策事件,邓小平,,,,,,,,,,
中国自行研制的导弹核潜艇在东海海域进行水下发射运载火箭试验并取得成功,,,1988年9月14日-1988年9月27日,,重大项目及重要成就事件,,,,,,,,,,,
中共十三届三中全会,,全会提出治理经济环境、整顿经济秩序、全面深化改革的方针。,1988年9月26日－1988年9月30日,,会议事件,,,治理经济环境、整顿经济秩序、全面深化改革的方针,,,,,,,,
中国第一座高能加速器——北京正负电子对撞机对撞成功,,,1988年10月16日,,重大项目及重要成就事件,,,,,,,,,,,
邓小平会见来访的苏联最高苏维埃主席团主席、苏共中央总书记戈尔巴乔夫,,邓小平会见来访的苏联最高苏维埃主席团主席、苏共中央总书记戈尔巴乔夫，中苏关系实现正常化。,1989年5月16日,,访问事件,,,,,,,,,,,
 中共十三届四中全会,,中共十三届四中全会召开。全会通过《关于赵紫阳同志在反党反社会主义的动乱中所犯错误的报告》，选举江泽民为中央委员会总书记。24日，江泽民在全会上讲话指出，在对待党的十一届三中全会以来的路线和基本政策这个最基本的问题上，要明确两句话：一句是坚定不移，毫不动摇；一句是全面执行，一以贯之。,1989年6月23日－1989年6月24日,,会议事件,,,,,,,,,,,
中央政治局召开全体会议,,中央政治局召开全体会议，通过《关于近期做几件群众关心的事的决定》、《关于加强宣传、思想工作的通知》和《关于加强党的建设的通知》。,1989年7月27日－1989年7月28日,,会议事件,,,,,,,,,,,
庆祝中华人民共和国成立40周年大会,,,1989年9月29日,,会议事件,,,,,,,,,,,
中共十三届五中全会,,中共十三届五中全会召开。全会通过《关于进一步治理整顿和深化改革的决定》。同意邓小平辞去中央军委主席职务，决定江泽民为中央军委主席。,1989年11月6日－1989年11月9日,,会议事件,,,,,,,,,,,
《关于加强和改善党对工会、共青团、妇联工作领导的通知》,,,1989年12月21日,,文献事件,,,,,,,,,,,
七届全国人大常委会第十一次会议,,,1989年12月26日,,会议事件,,,,,,,,,,,
《关于坚持和完善中国共产党领导的多党合作和政治协商制度的意见》,,中共中央印发《关于坚持和完善中国共产党领导的多党合作和政治协商制度的意见》，指出“长期共存、互相监督、肝胆相照、荣辱与共”是中国共产党同各民主党派合作的基本方针，明确中国共产党领导的多党合作和政治协商制度是我国一项基本政治制度。,1989年12月30日,,文献事件,,,“长期共存、互相监督、肝胆相照、荣辱与共”,,,,,,,,
中共十三届六中全会,,,1990年3月9日－1990年3月12日,,会议事件,,,,,,,,,,,
七届全国人大三次会议,,七届全国人大三次会议举行。会议通过《中华人民共和国香港特别行政区基本法》、《关于〈中华人民共和国香港特别行政区基本法〉的决定》、《关于设立香港特别行政区的决定》；决定接受邓小平辞去国家中央军委主席职务的请求，选举江泽民为国家中央军委主席。,1990年3月20日－1990年4月4日,,会议事件,江泽民,,,,,,,,,,
《关于县以上党和国家机关党员领导干部民主生活会的若干规定》,,,1990年5月25日,,文献事件,,,,,,,,,,,
《关于实行党和国家机关领导干部交流制度的决定》,,,1990年7月7日,,文献事件,,,,,,,,,,,
中国大陆兴建最早的高速公路——沈大高速公路（沈阳至大连）正式通车,,到2020年底，全国高速公路里程达16.1万公里。,1990年9月1日,,重大项目及重要成就事件,,,,,,,,,,,
第十一届亚洲运动会举行,,这是中国首次承办的综合性国际体育大赛。,1990年9月22-1990年10月7日,北京,重大项目及重要成就事件,,,,,,,,,,,
中共中央批转中央纪委《关于加强党风和廉政建设的意见》,,中共中央批转中央纪委《关于加强党风和廉政建设的意见》，强调要从党和国家生死存亡、改革开放兴衰成败的高度认识党风和廉政建设的重要性和紧迫性。,1990年11月4日,,文献事件,,中央纪委,,,,,,,,,
中国大陆开业的第一家证券交易所——上海证券交易所正式成立,,新中国成立以来在中国大陆开业的第一家证券交易所——上海证券交易所正式成立。12月19日，上海证券交易所正式开业。1991年7月3日，深圳证券交易所正式开业。,1990年11月26日,,成立事件,,,,,,,,,,,
全国拥军优属、拥政爱民工作会议,,全国拥军优属、拥政爱民工作会议在福建福州召开。会议命名表彰了首批全国双拥模范城（县）。,1991年1月10日－1991年1月16日,福建,会议事件,,,,,,,,,,,
《关于批准国家高新技术产业开发区和有关政策规定的通知》,,国务院发出《关于批准国家高新技术产业开发区和有关政策规定的通知》。决定继1988年批准北京市新技术产业开发试验区之后，在各地已建立的高新技术产业开发区中，再选定武汉东湖新技术开发区等26个开发区作为国家高新技术产业开发区。到2021年6月，共建成169个国家高新技术产业开发区（含苏州工业园区）。,1991年3月6日,,文献事件,,,,,,,,,,,
《关于企业职工养老保险制度改革的决定》,,,1991年6月26日,,文献事件,,,,,,,,,,,
《关于建立统一的企业职工基本养老保险制度的决定》,,,1997年7月16日,,文献事件,,,,,,,,,,,
《关于完善企业职工基本养老保险制度的决定》,,,2005年12月3日,,文献事件,,,,,,,,,,,
《毛泽东选集》第一至第四卷第二版出版,,,1991年6月,,文献事件,,,,,,,,,,,
庆祝中国共产党成立70周年大会,,庆祝中国共产党成立70周年大会召开。江泽民发表讲话，阐述建设有中国特色社会主义的经济、政治、文化的基本特征和主要内容。,1991年7月1日,,会议事件,,,,,,,,,,,
《中国共产党历史》上卷出版,,,1991年7月,,文献事件,,中央党史研究室,,,,,,,,,
《中国共产党的七十年》出版,,,1991年8月,,文献事件,,中央党史研究室,,,,,,,,,
《关于抓紧培养教育青年干部的决定》,,,1991年9月6日,,文献事件,,,,,,,,,,,
中共十三届八中全会,,中共十三届八中全会召开。全会通过《关于进一步加强农业和农村工作的决定》。指出，要把以家庭联产承包为主的责任制、统分结合的双层经营体制作为我国乡村集体经济组织的一项基本制度长期稳定下来，并不断充实完善。,1991年11月25日－1991年11月29日,,会议事件,,,,,,,,,,,
七届全国人大常委会第二十四次会议,,七届全国人大常委会第二十四次会议通过《中华人民共和国领海及毗连区法》。,1992年2月25日,,会议事件,,,,,,,,,,,
《国家中长期科学技术发展纲领》,,,1992年3月8日,,文献事件,,,,,,,,,,,
中国共产党第十四次全国代表大会,,大会正式代表1989人，特邀代表46人，代表全国5100多万党员。大会通过的报告《加快改革开放和现代化建设步伐，夺取有中国特色社会主义事业的更大胜利》，总结党的十一届三中全会以来14年的实践经验，决定抓住机遇，加快发展；确定我国经济体制改革的目标是建立社会主义市场经济体制；提出用邓小平同志建设有中国特色社会主义的理论武装全党。大会通过《中国共产党章程（修正案）》，将邓小平同志建设有中国特色社会主义的理论和党在社会主义初级阶段的基本路线写入党章。,1992年10月12日－1992年10月18日,,会议事件,,,,,,,,,,,
中共十四届一中全会,,中共十四届一中全会选举江泽民为中央委员会总书记，决定江泽民为中央军委主席，批准尉健行为中央纪委书记。,1992年10月19日,,会议事件,"江泽民,尉健行",,,,,,,,,,
九二共识,,海峡两岸关系协会与台湾海峡交流基金会，就解决两岸事务性商谈中如何表述坚持一个中国原则的问题，达成“海峡两岸同属一个中国，共同努力谋求国家统一”的共识，后被称为“九二共识”。,1992年11月,,访问事件,,,坚持一个中国原则,,,,,,,,
1993年中央军委扩大会议,,中央军委扩大会议制定新时期积极防御的军事战略方针，要求把军事斗争准备的基点放在打赢现代技术特别是高技术条件下的局部战争上。2004年6月召开的中央军委扩大会议提出，必须明确把军事斗争准备的基点放到打赢信息化条件下的局部战争上。,1993年1月13日－1993年1月19日,,会议事件,,,,,,,,,,,
